№,,Раздел/Категория,Название статьи,Ссылка,Не показывать,Текст,Картинка,Приоритет,Коммент
39,,Решения для бизнеса,Как добавить свое приложение?,vk.com/@-170652532-kak-dobavit-svoe-prilozhenie,,,4,,
22,,Приём платежей,Денежные переводы,vk.com/@-170652532-denezhnye-perevody,,,4,,
23,,Приём платежей,Переводы через VK Pay,vk.com/@-170652532-perevody-cherez-vk-pay,,,,,добавить картирнку
24,,Приём платежей,Подключение и настройка,vk.com/@-170652532-podkluchenie-i-nastroika-vkpay,,,4,,
25,,Приём платежей,Ограничения,vk.com/@-170652532-ogranicheniya,,,,,
54,,Оптимизация рекламы,Статистика,vk.com/@-170652532-statistika-reklama,,,4,,
55,,Оптимизация рекламы,Управление ставкой,vk.com/@-170652532-upravlenie-stavkoi,,,4,,
56,,Оптимизация рекламы,Сегментация,vk.com/@-170652532-segmentaciya,,,4,,
57,,Оптимизация рекламы,A/B тестирование,vk.com/@-170652532-ab-testirovanie,,,4,,
58,,Оптимизация рекламы,Сохранение аудитории,vk.com/@-170652532-sohranenie-auditorii,,,4,,
59,,Оптимизация рекламы,Советы,vk.com/@-170652532-sovety-reklama,,,4,,
60,,Оплата рекламы,Сколько стоит?,vk.com/@-170652532-skolko-stoit-reklama,,,4,,
61,,Оплата рекламы,Способы оплаты,vk.com/@-170652532-sposoby-oplaty-reklamy,,,1,,
62,,Оплата рекламы,Юридическим лицам,vk.com/@-170652532-uridicheskim-licam,,,1,,"DONE на картинке убрать ""4""в пункте 2"
63,,Оплата рекламы,Возврат средств,vk.com/@-170652532-vozvrat-sredstv,,,4,,
26,,Магазин ВКонтакте,С чего начать?,vk.com/@-170652532-s-chego-nachat-magazin,,,4,,
27,,Магазин ВКонтакте,Настройка магазина,vk.com/@-170652532-nastroika-magazina,,,,,
28,,Магазин ВКонтакте,Загрузка товаров,vk.com/@-170652532-zagruzka-tovarov,,,,,
29,,Магазин ВКонтакте,Автоматизация,vk.com/@-170652532-avtomatizaciya-magazin,,,,,
30,,Магазин ВКонтакте,Обработка заказов,vk.com/@-170652532-obrabotka-zakazov,,,,,
31,,Магазин ВКонтакте,Прием оплаты,vk.com/@-170652532-priem-oplaty,,,,,
40,,Запуск рекламы,О рекламе ВКонтакте,vk.com/@-170652532-vozmozhnosti-reklamy-vkontakte,,,4,,
41,,Запуск рекламы,Как создать рекламу,vk.com/@-170652532-kak-sozdat-reklamu,,,,,
42,,Запуск рекламы,Рекламный кабинет,vk.com/@-170652532-reklamnyi-kabinet,,,0,,
43,,Запуск рекламы,Форматы объявлений,vk.com/@-170652532-formaty-obyavlenii,,,1,,
44,,Запуск рекламы,Видеореклама,vk.com/@-170652532-videoreklama,,,4,,
45,,Запуск рекламы,Динамические объявления,vk.com/@-170652532-dinamicheskie-obyavleniya,,,4,,
46,,Запуск рекламы,Создание объявлений,vk.com/@-170652532-sozdanie-obyavlenii,,,4,,
47,,Запуск рекламы,Выбор целевой аудитории,vk.com/@-170652532-vybor-celevoi-auditorii,,,1,,
48,,Запуск рекламы,Ретаргетинг,vk.com/@-170652532-retargeting,,,4,,
49,,Запуск рекламы,Похожие аудитории,vk.com/@-170652532-pohozhie-auditorii,,,4,,
50,,Запуск рекламы,Расписание показов,vk.com/@-170652532-raspisanie-pokazov,,,4,,
51,,Запуск рекламы,Другие настройки,vk.com/@-170652532-drugie-nastroiki,,,,,
52,,Запуск рекламы,Запуск и остановка,vk.com/@-170652532-zapusk-i-ostanovka,,,4,,
53,,Запуск рекламы,Правила размещения,vk.com/@-170652532-pravila-razmescheniya,,,1,,
